original_sentence,truncated_sentence
"In the 2008 American Religious Identification Survey, 86% of Alabama respondents reported their religion as Christian, including 6% Catholic, with 11% as having no religion.",In the 2008 American Religious
"In the Alabama language, the word for a person of Alabama lineage is  (or variously  or  in different dialects; the plural form is ).","In the Alabama language, the"
"In the Cold War years, Lincoln's image shifted to a symbol of freedom who brought hope to those oppressed by Communist regimes.","In the Cold War years,"
"In the Early Modern period, scientists such as William Harvey in England and Galileo Galilei in Italy reacted against the theories of Aristotle and other classical era thinkers like Galen, establishing new theories based to some degree on observation and experiment.","In the Early Modern period,"
"In the Empedoclean scheme, all matter was made of the four elements, in differing proportions.","In the Empedoclean scheme, all"
"In the Iliad, it appears to be the model of a deep and loyal friendship.","In the Iliad, it appears"
"In the Odyssey Book XI, Odysseus sails to the underworld and converses with the shades.","In the Odyssey Book XI,"
In the Odyssey Book XXIV we read dead King Agamemnon's ghostly account of his death: Achilles' funeral pyre bleached bones had been mixed with those of Patroclus and put into his mother's golden vase.,In the Odyssey Book XXIV
"In the Spanish Civil War of 1936–39, anarchists and syndicalists (CNT and FAI) once again allied themselves with various currents of leftists.",In the Spanish Civil War
In the United States Supreme Court cases of Baker v.,In the United States Supreme
"In the campaign, Lincoln advocated for navigational improvements on the Sangamon River.","In the campaign, Lincoln advocated"
In the case of evergreen forests with seasonal snow cover albedo reduction may be great enough for deforestation to cause a net cooling effect.,In the case of evergreen
"In the current era, Italian anarchist Alfredo Bonanno, a proponent of insurrectionary anarchism, has reinstated the debate on violence by rejecting the nonviolence tactic adopted since the late 19th century by Kropotkin and other prominent anarchists afterwards.","In the current era, Italian"
"In the early 1830s, he met Mary Owens from Kentucky.","In the early 1830s, he"
"In the early 21st century, Republicans hold all seven of the statewide elected executive branch offices.","In the early 21st century,"
"In the first year of the awards, the Best Directing award was split into two categories (Drama and Comedy).",In the first year of
"In the following chapter of his book, Pliny refers to the same island as Achillea and introduces two further names for it: Leuce or Macaron (from Greek [νῆσος] μακαρῶν ""island of the blest"").",In the following chapter of
"In the major Southern speech region, there is the decreasing loss of the final r, for example the ""boyd"" pronunciation of ""bird"".",In the major Southern speech
"In the resulting battle, Achilles gave Telephus a wound that would not heal; Telephus consulted an oracle, who stated that ""he that wounded shall heal"".","In the resulting battle, Achilles"
"In the selection and use of his cabinet, Lincoln employed the strengths of his opponents in a manner that emboldened his presidency.",In the selection and use
"In the state are four medical schools (as of fall 2015) (University of Alabama School of Medicine, University of South Alabama and Alabama College of Osteopathic Medicine and The Edward Via College of Osteopathic Medicine—Auburn Campus), two veterinary colleges (Auburn University and Tuskegee University), a dental school (University of Alabama School of Dentistry), an optometry college (University of Alabama at Birmingham), two pharmacy schools (Auburn University and Samford University), and five law schools (University of Alabama School of Law, Birmingham School of Law, Cumberland School of Law, Miles Law School, and the Thomas Goode Jones School of Law).",In the state are four
"In violent motion, as soon as the agent stops causing it, the motion stops also: in other words, the natural state of an object is to be at rest, since Aristotle does not address friction.","In violent motion, as soon"
Inceptive currents among classical anarchist currents were mutualism and individualism.,Inceptive currents among classical anarchist
"Indigenous animal species in the state include 62 mammal species, 93 reptile species, 73 amphibian species, roughly 307 native freshwater fish species, and 420 bird species that spend at least part of their year within the state.",Indigenous animal species in the
Indigenous peoples of varying cultures lived in the area for thousands of years before the advent of European colonization.,Indigenous peoples of varying cultures
Individualist anarchism is a set of several traditions of thought within the anarchist movement that emphasise the individual and their will over any kinds of external determinants.,Individualist anarchism is a set
